TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,FRUSTRATED,TIRED,ENGAGED,CLASS
1.92,0,95.526,no,unknown,unknown,unknown,Unknown,-28.7422,1.7556,0.7805,0.0018,0.0049,0.4332,0.0286,0.0041,0.2086,0.1929,-0.8583,0.1157,0,2.6159,0.0218,0.0004,0.1368,0.008,0.0019,0.0077,5.2088,0.0043,0.0054,0.0031,0.0092,99.8398,98.2857,0.0014,0.0139,0.0578,0.0024,0.0001,0.0282,0.0018,0.0017,0.0018,0.0019,0.0018,0.0041,0,0.0031,2.2977,2.2977,0.0018,0.0282,0,0,0,0
1.96,0,97.1026,no,unknown,unknown,unknown,Unknown,-27.0557,2.2123,1.1121,0.0018,0.0047,0.4383,0.0258,0.0043,0.1996,0.1928,-0.4634,0.1158,0,1.11,0.0408,0.0002,0.2343,0.0076,0.0019,0.0133,5.1286,0.0148,0.0094,0.0026,0.0064,99.8453,98.1248,0.0082,0.008,0.0178,0.0055,0.0001,0.0255,0.0018,0.0017,0.0018,0.0019,0.0018,0.0043,0,0.0031,2.2977,2.2977,0.0018,0.0281,0,0,0,0
2.04,0,96.8233,no,unknown,unknown,unknown,Unknown,-25.109,0.832,1.3149,0.0018,0.0046,0.4405,0.0249,0.0044,0.1967,0.1928,-0.319,0.1429,0,0.5519,0.0855,0.0001,0.2753,0.0058,0.0021,0.0153,8.0385,0.0174,0.01,0.0022,0.0076,99.7355,98.5707,0.0335,0.0037,0.0055,0.0062,0.0002,0.0222,0.0018,0.0018,0.0019,0.0019,0.0018,0.0044,0,0.0031,2.2977,2.2977,0.0018,0.0281,0,0,0,0
2.12,0,98.2692,no,unknown,unknown,unknown,Unknown,-23.8219,0.0996,2.3716,0.0018,0.0046,0.4408,0.0246,0.0044,0.1961,0.1928,-0.2755,0.1596,0,0.3849,0.1168,0.0001,0.2837,0.0055,0.003,0.0182,9.5782,0.0123,0.0151,0.0018,0.0084,99.9221,98.7631,0.075,0.0008,0.0018,0.0052,0.0001,0.0196,0.0018,0.0018,0.0019,0.0019,0.0018,0.0044,0,0.0031,2.2977,2.2977,0.0018,0.0281,0,0,0,0
2.16,0,96.2552,no,unknown,unknown,unknown,Unknown,-22.1405,-0.6773,1.5926,0.0018,0.0046,0.4391,0.0246,0.0044,0.1956,0.1929,-0.2656,0.1624,0,0.3971,0.0675,0.0002,0.2532,0.0051,0.0034,0.0231,9.8475,0.0121,0.0165,0.0017,0.0101,97.8935,98.6137,0.0486,0.0014,0.0038,0.0048,0.0002,0.0207,0.0018,0.0018,0.0019,0.002,0.0018,0.0044,0,0.003,2.2977,2.2977,0.0018,0.0281,0,0,0,0
2.24,0,93.681,no,unknown,unknown,unknown,Unknown,-18.5976,-1.8626,1.6393,0.0018,0.0046,0.436,0.0245,0.0045,0.195,0.1933,-0.2242,0.1542,0,0.3002,0.0633,0.0003,0.2017,0.0032,0.0067,0.0513,9.1778,0.0168,0.0254,0.0011,0.0323,0,98.2493,0.0198,0.0028,0.0105,0.0144,0.0001,0.0126,0.0018,0.0019,0.0019,0.0025,0.0018,0.0045,0,0.0028,2.2977,2.2977,0.0018,0.0281,0,0,0,0
2.32,0,96.0211,no,unknown,unknown,unknown,Unknown,-16.1484,-1.1441,1.1071,0.0018,0.0046,0.4318,0.0252,0.0044,0.197,0.1937,-0.3196,0.1491,0,0.7043,0.0253,0.0003,0.1239,0.0026,0.0106,0.0846,8.7792,0.023,0.0244,0.0008,0.0481,0,98.4801,0.0056,0.0049,0.0245,0.0152,0.0002,0.0108,0.0018,0.0018,0.0019,0.0029,0.0018,0.0044,0,0.0025,2.2977,2.2977,0.0018,0.028,0,0,0,0
2.4,0,96.5948,no,unknown,unknown,unknown,Unknown,-14.8944,-0.1842,0.0977,0.0018,0.0047,0.4272,0.0261,0.0043,0.2003,0.194,-0.4585,0.1321,0,1.2712,0.0104,0.0005,0.0365,0.0019,0.0175,0.0889,7.1708,0.044,0.0228,0.0006,0.0626,0,98.7422,0.0015,0.003,0.0522,0.0077,0.0001,0.0098,0.0018,0.0018,0.0018,0.0032,0.0018,0.0043,0,0.0021,2.2977,2.2977,0.0018,0.028,0,0,0,0
2.48,0,96.552,no,unknown,unknown,unknown,Unknown,-13.1766,-0.29,-0.543,0.0018,0.0052,0.4261,0.0331,0.0037,0.2225,0.1965,-1.5066,0.1139,0,4.7984,0.0022,0.0008,0.0102,0.001,0.0461,0.077,5.1225,0.0136,0.01,0.0004,0.1837,0,98.7157,0.0002,0.0029,0.1883,0.0024,0.0001,0.0092,0.0018,0.0018,0.0018,0.0035,0.0018,0.0037,0,0.0019,2.2977,2.2977,0.0018,0.028,0,0,0,0
2.56,0,96.2815,no,unknown,unknown,unknown,Unknown,-12.6285,-0.506,-1.7677,0.0018,0.0067,0.4259,0.0581,0.0026,0.2863,0.2001,-4.0423,0.1092,0,13.2359,0.001,0.0009,0.0051,0.0008,0.0548,0.0845,4.5383,0.0089,0.0097,0.0004,0.3579,0,98.6597,0,0.0023,0.3994,0.0015,0.0001,0.0106,0.0018,0.0018,0.0018,0.0036,0.0018,0.0026,0,0.0019,2.2977,2.2977,0.0018,0.028,0,0,0,0
2.64,0,95.9549,no,unknown,unknown,unknown,Unknown,-12.1565,0.2758,-1.8758,0.0018,0.0126,0.4258,0.2349,0.0011,0.5358,0.2133,-10.3358,0.1081,0,34.2076,0.0006,0.0008,0.0024,0.0007,0.0637,0.0758,4.3999,0.0086,0.0087,0.0006,0.9601,0,98.7192,0,0.0017,0.6215,0.0014,0.0001,0.0156,0.0018,0.0018,0.0018,0.0037,0.0018,0.0011,0,0.0018,2.2977,2.2977,0.0018,0.028,0,0,0,0
2.72,0,95.6853,no,unknown,unknown,unknown,Unknown,-11.2217,0.0576,-2.1046,0.0018,0.032,0.4258,1.8262,0.0003,1.3469,0.2388,-19.6477,0.1023,0,65.2046,0.0004,0.0004,0.0018,0.0006,0.0865,0.0636,3.6286,0.012,0.0067,0.0007,2.0236,0,98.7733,0,0.0007,0.4928,0.0012,0.0001,0.0158,0.0018,0.0018,0.0018,0.0038,0.0018,0.0003,0,0.0018,2.2978,2.2978,0.0018,0.028,0,0,0,0
2.8,0,95.779,no,unknown,unknown,unknown,Unknown,-9.6245,-0.476,-1.6363,0.0018,0.0632,0.4258,7.7914,0.0001,2.6258,0.2385,-26.4734,0.095,0,87.8938,0.0003,0.0003,0.0014,0.0005,0.1211,0.0469,2.5915,0.0125,0.0058,0.0006,2.013,0,98.6676,0,0.0003,0.3316,0.0006,0.0001,0.0152,0.0018,0.0018,0.0018,0.0039,0.0018,0.0001,0,0.0018,2.2978,2.2978,0.0018,0.028,0,0,0,0
2.88,0,95.0736,no,unknown,unknown,unknown,Unknown,-8.781,-0.4137,-1.3205,0.0018,0.0744,0.4258,11.0162,0.0001,3.0963,0.2673,-28.3125,0.0901,0,93.5485,0.0004,0.0002,0.0018,0.0004,0.3242,0.0422,1.8418,0.0183,0.0061,0.0006,3.0879,0,98.6839,0,0.0002,0.3357,0.0004,0,0.0134,0.0018,0.0018,0.0018,0.0041,0.0018,0.0001,0,0.0018,2.2978,2.2978,0.0018,0.028,0,0,0,0
2.96,0,96.848,no,unknown,unknown,unknown,Unknown,-10.9777,-2.8553,-0.526,0.0018,0.0803,0.426,13.0682,0.0001,3.3597,0.4061,-29.346,0.0874,0,96.3606,0.0005,0.0002,0.0041,0.0003,0.5902,0.0521,1.412,0.018,0.0053,0.0007,7.0374,99.9936,97.873,0,0.0007,0.3587,0.0004,0,0.0145,0.0018,0.0018,0.0018,0.0041,0.0019,0.0001,0,0.0018,2.2978,2.2978,0.0018,0.028,0,0,0,0
3.04,0,95.0915,no,25-34,unknown,male,Unknown,-10.7771,-1.3889,-1.1767,0.0018,0.0767,0.4267,12.1372,0.0001,3.2321,0.4567,-29.0845,0.0864,0,95.0254,0.0006,0.0003,0.0143,0.0002,0.7752,0.0628,1.2416,0.0275,0.006,0.0006,8.1466,0,98.405,0,0.005,0.838,0.0004,0,0.0111,0.0018,0.0018,0.0018,0.0041,0.0019,0.0001,0,0.0018,2.2978,2.2978,0.0018,0.028,0,0,0,0
